Car Make,Car Model,Dealer or Individual,Price,Year,Location,Mileage,Doors,Color,Transmission,VIN#,Engine,Description,Web link
Toyota,Highlander,Dealer,23999,2012,"blue mound, TX 76131",32477,4,white,Automatic,5TDZA3EH5CS023960,"4-Cyl, 2.7 Liter",,https://www.carvana.com/vehicle/lt/2497441&store=?utm_source=google&utm_medium=vla&utm_campaign=11030956979&utm_content=111143241747&utm_target=pla-1731472888743&utm_creative=461539942938&utm_device=c&utm_adposition=&gclid=CjwKCAjw1ICZBhAzEiwAFfvFhH4MEGzbboxbFdeZsRcUvrS7PJRo_xWjkEg25kExA6WxHD7NpYxRRxoClRAQAvD_BwE
Toyota,Rav4,Dealer,14295,2011,"New Castle, PA",79744,4,Grey,Automatic,JTMRK4DV4B5101157,6 cylinders,New PA Inspection,https://pittsburgh.craigslist.org/ctd/d/new-castle-2011-toyota-rav4/7533000483.html
Toyota,Corolla,Dealer,26998,2021,"CarMax Cleveland East, OH",22000,4,Black/Black,Automatic,5YFEPMAE4MP178346,"4-cyl, Gas, 1.8L","Well-Equipped, Manufacturer Warranty",https://www.carmax.com/car/23199614
Toyota,Camry,Dealer,14947,2014,"1550 E. Camelback RoadPhoenix, AZ 85014",115988,4,Silver,Automatic,4T1BF1FK2EU450847,2.5L I-4 cyl,"Bluetooth, Back Up Camera, Local Trade, Alloy Wheels, Black w/SofTex Seat Trim.
FWD 25/35 City/Highway MPG 6-Speed Automatic 2.5L I4 SMPI DOHC Classic Silver Metallic
Awards:
* 2014 KBB.com 10 Best Used Family Cars Under $15,000 * 2014 KBB.com 10 Best Hybrid Cars Under $30,000 * 2014 KBB.com 10 Best Late-Model Used Cars Under $15,000 * 2014 KBB.com Best Resale Value Awards
www.camelbacktoyota.com Excellent Selection of NEW and USED vehicles, Financing Options, Serving the great Phoenix Area.",https://www.camelbacktoyota.com/used/Toyota/2014-Toyota-Camry-23cada810a0e0a905d26eaaf701d5bcd.htm
Toyota,Camry,Dealer,22000,2016,"Manhattan, KS",39249,4,Midnight Black Metallic,Automatic,4T1BF1FK4GU228796,2.5L I4 16V MPFI DOHC,"CLEAN VEHICLE HISTORY REPORT, BACKUP CAMERA, BLUETOOTH, 12 VOLT OUTLET, USB PORT, AUXILIARY PORT, POWER DRIVER'S SEAT, CRUISE CONTROL, TRACTION CONTROL. Toyota Certified Used Vehicles Details: 160 Point Inspection Limited Warranty: 12 Month/12,000 Mile (whichever comes first) from TCUV purch ase date Limited Comprehensive Warranty: 12 Month/12,000 Mile (whichever comes first) from certified purchase date. Roadside Assistance for 7 Year / 100,000 Mile Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from TCUV purchase date Vehicle History Warranty Deductible: $0 Transferable Warranty Roadside Assistance Odometer is 10718 miles below market average! 25/35 City/Highway MPG SE 2016 Toyota Camry Midnight Black Metallic FWD 6-Speed Automatic 2.5L I4 SMPI DOHC Awards: 2016 KBB.com 5-Year Cost to Own Awards 2016 KBB.com 10 Best Sedans Under $25,000 2016 KBB.com 10 Most Awarded Cars 2016 KBB.com 10 Best Used Cars Under $15,000 2016 KBB.com Best Buy Awards Finalist 2016 KBB.com 10 Best UberX Candidates 2016 KBB.com 10 Most Comfortable Cars Under $30,000 THIS VEHICLE IS ELIGIBLE FOR SPECIAL APR THROUGH THE MANUFACTURER PLEASE CONTACT US AND FIND OUT THE CURRENT OFFER. WE PRICE MATCH. Recent Arrival! 25/35 City/Highway MPG Certified.",https://www.cars.com/vehicledetail/a39375cc-2885-4f42-84d0-935356bbeb19/
Toyota,Highlander,Individual,29590,2016,"Lorain, OH 44053",68995,4,white,Automatic, 5TDJKRFH7GS285884,"6-Cyl, VTEC, 3.5L",,https://www.carvana.com/vehicle/2431077
Toyota,Corolla,Dealer,15800,2016,Moon Township,113137,4,black,Automatic,,4 cylinder,,https://pittsburgh.craigslist.org/ctd/d/coraopolis-2016-toyota-corolla-plus/7531608406.html
Toyota,Camry,Dealer,30880,2020,Pittsburgh,15493,4,Gray,Automatic,4T1C31AKXLU526204,Hybrid Gas/Electric ,"2020 Toyota Camry Hybrid LE |, Back Up Camera |, SiriusXM Satellite Radio |, Apple Carplay / Android Auto |, Serviced and Ready to ROLL!.",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=649906273&makeCodeList=TOYOTA&city=Pittsburgh&state=PA&zip=15219&location=&dma=&searchRadius=50&listingTypes=USED&isNewSearch=false&referrer=%2Fcars-for-sale%2Ftoyota%2Fpittsburgh-pa-15219%3F&clickType=listing
Toyota,Camry,Dealer,29998,2018,"Columbus, OH",38000,4,Silver,Automatic,4T1B61HK9JU121151,"4-cyl, Gas, 2.5L","Fuel Efficient
28 City / 39 Hwy",https://www.carmax.com/car/22964799
Toyota,Camry,Dealer,12995,2014,"North Versailles, PA",68594,4,Barcelona Red Metallic,Automatic,4T1BF1FKXEU816120,"2.5L 4cyl 6A, 178 HP","Used
2014 Toyota Camry
SE 4dr Sedan (2.5L 4cyl 6A)
VIN: 4T1BF1FKXEU816120Stock: LD-10003
Vehicle Summary
68,594 Miles
Exterior Color
Ext: Barcelona Red Metallic
Interior Color
Int: Black Leather/Suede
Automatic Transmission
Front Wheel Drive
Gas Engine
178 Horsepower
25 City / 35 HwyBased On Model Year EPA Mileage Ratings. Use For Comparison Purposes Only. Your Mileage Will Vary Depending On How You Drive And Maintain Your Vehicle, Driving Conditions, Battery-Pack Age/Condition And Other Factors.
5 Seats",https://www.edmunds.com/toyota/camry/2014/vin/4T1BF1FKXEU816120/?radius=50
Toyota,Corolla,Dealer,22809,2020,"Norco, CA",8031,4,Classic Silver Metallic,Automatic,5YFS4RCE0LP050349,2L I4,"**TAKE ADVANTAGE OF OUR PUBLIC WHOLESALE PRICING GOING ON RIGHT NOW!!!** 2020 Toyota Corolla (W/ Bluetooth Audio & Backup Camera) Blind Spot Monitor Keyless Entry Push-To-Start CVT Automatic Transmission 17 Alloy Wheels 4.2 LCD Monitor 6-Speaker System Sport Mode Bluetooth Audio Leather Steering Wheel Front Bucket Seats Dual Zone A/C Cruise Control Trip Computer Valet Function Outside Temperature Gauge THIS CAR IS PRICED TO SELL! COME CHECK IT OUT NOW BEFORE IT'S GONE! THIS VEHICLE IS ELIGIBLE FOR AN EXTENDED BUMPER TO BUMPER COVERAGE! CALL US FOR MORE DETAILS!!!! See our inventory at www.cmtcars3.com or CALL TODAY (951) 550-0727 with over 500 vehicles in stock. We are Californias low-price leader. In some cases, the manufacturer warranty still applies, if not aftermarket warranties & services contracts are available at great prices. We have all types of financing based on your credit worthiness. We guarantee your experience will be present, our sales staff is on salary to eliminate haggling and to make the customers buying experience a great one. Payments based upon 25% DOWN PAYMENT (amount of$4249.75) for 72-month term financed at 3.99% A.P.R. ZERO DOWN financing available for qualified applicants, not all applicants will qualify for advertised payment. Minimum credit score applies, and additional income requirements may apply. Rates subject to change, based upon credit union rates. Credit Union may require additional criteria for membership. Please contact CALIFORNIA MOTOR TRADE finance department for further details or a FREE FIVE-MINUTE CREDIT PRE-APPROVAL! We strive to give accurate information, however, there are mistakes. In case of a typographical error dealership retains the right to make corrections. Prices are not binding without an executed contract at the dealership and are subject to change within 24 hours. Price excludes government fees and taxes, any finance charges, any dealer document preparation charge, and any emission testing charge. The condition and representation of this vehicle are opinions and we encourage you to come in and evaluate and determine the condition for the vehicle per your standards, as they may differ. We do provide NMVTIS reports and Carfax reports on all vehicles. We disclose all information known about the vehicle at the time of sale. No pressure sales staff is always friendly and ready to help. .",https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=90601&distance=75&entitySelectingHelper.selectedEntity=d295#listing=339038479/NONE
Toyota,Corolla,Dealer,13990,2011,Online Only,83086,4,White,Automatic,JTDBU4EE0BJ100816,1.8L I4 16V MPFI DOHC,"At Carvana, we want to help everyone Live Feelessly. That's why we never charge last-minute, bogus fees. We believe in treating you better--we think you should be able to get the right car at the right price without worrying about fees taking the joy from the ride. Plus, get your car delivered as so on as the next day with our Touchless Delivery process designed to keep you safe.",https://www.cars.com/vehicledetail/baefa7bd-da3d-4308-afe3-f4e358df8d21/
Toyota,Corolla,Dealer,18270,2015,"1550 E. Camelback RoadPhoenix, AZ 85014",93885,4,Blue Crush Metallic,Automatic,5YFBURHE2FP195387,1.8L I-4 cyl,"Back Up Camera, Local Trade, One Owner, Clean CARFAX, ABS brakes, Electronic Stability Control, Illuminated entry, Low tire pressure warning, Traction control.
FWD Clean CARFAX. 27/36 City/Highway MPG 4-Speed Automatic 1.8L I4 DOHC Dual VVT-i Blue Crush Metallic
Awards:
* 2015 KBB.com 10 Best UberX Candidates * 2015 KBB.com 10 Tech-Savviest Cars Under $20,000 * 2015 KBB.com 5-Year Cost to Own Awards
www.camelbacktoyota.com Excellent Selection of NEW and USED vehicles, Financing Options, Serving the great Phoenix Area.",https://www.camelbacktoyota.com/used/Toyota/2015-Toyota-Corolla-1f36e8490a0e087f480c73ee195462f0.htm
Toyota,Rav4,Individual,34998,2020,"CarMax Columbus Sawmill, OH",16000,4,Gray/Black,Automatic,2T3F1RFV9LC060889,"4-cyl, Gas, 2.5L","Single Owner, Low Miles, Well Equipped",https://www.carmax.com/car/23199975
Toyota,Highlander,Dealer,24990,2016,"Lorain, OH",92287,4,Silver,Automatic,5TDBKRFH4GS275575,"6-Cyl, VTEC, 3.5L",2016 Toyota Highlander LE Plus Sport Utility 4D,https://www.carvana.com/vehicle/2452566
Toyota,Highlander,Individual,28590,2016,"greenfieel, in 46140",65238,4,Beige,Automatic,5TDJKRFH4GS323152,"6-Cyl, VTEC, 3.5L",,https://www.carvana.com/vehicle/2436943
Toyota,Corolla,Dealer,7591,2000,"San Jose, CA",69955,4,Sandrift,Automatic,1NXBR12E4YZ366573,1.8L I-4 cyl,"Sensibility and practicality define the 2000 Toyota Corolla!
It just arrived on our lot this past week! This 4 door, 5 passenger sedan still has fewer than 70,000 miles! Toyota infused the interior with top shelf amenities, such as: 1-touch window functionality, tilt steering wheel, and air conditioning. It features a front-wheel-drive platform, an automatic transmission, and a 1.8 liter 4 cylinder engine.",https://www.capitoltoyota.com/used/Toyota/2000-Toyota-Corolla-san-jose-ca-249e72130a0e0a927f216799fa59d9ca.htm
Toyota,Rav4,Dealer,16987,2013,"Salisbury, NC",133730,4,red,Automatic,2T3YFREV1DW017028, 176 hp 2.5L I4,"2013 Toyota RAV4 Limited *DEALER MAINTAINED*, *LEATHER SEATS*, 6 Speakers, Air Conditioning, Brake assist, Electronic Stability Control, Fully automatic headlights, Heated front seats, Memory seat, Panic alarm, Power driver seat, Power moonroof, Power windows, Remote keyless entry, Spoiler, Traction control. At Cloninger Ford -Toyota come see how we are your ""JUST BETTER"" dealership. Better People, Better Experience !!! We offer the following benefits: Better Value Guarantee, Lifetime Power Train (Some exclusions apply), $500 Additional Trade In Appraisal, 72 Hour Vehicle Exchange Program, Yearly Vehicle Appraisal & Safety Inspection, VIP Loyalty Program, Routine Express Service, Courtesy Service Shuttle, Express Buying Service. Also, as an added benefit we will buy your vehicle even if you don't buy ours!! Call today (704)633-9321 or visit us at www.justbetterauto.com. *Customer must trade-in a vehicle to receive $1,000 Trade Assist credit that is included in the online price. **Financing must be provided by a third-party lender using this dealerships assistance for Customer to receive $1,000 Financing Assist credit that is included in the online price. See dealer for complete details One Year Appearance Package $899 Not Included In Sales Price *PAINT PROTECTION Protects against fading, weather induced cracking or peeling, oxidation or loss of gloss. *FABRIC PROTECTION Protects against any normal oil-or water-based spills on the fabric. *VINYL & LEATHER PROTECTION Protects against fading and permanent staining caused by food or drink.
Additional Information
6 Speakers,AM/FM radio,CD player,MP3 decoder,Radio: AM/FM/CD/MP3/WMA Playback w/6 Speakers,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Memory seat,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Knee airbag,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Power moonroof,Brake assist,Electronic Stability Control,Front fog lights,Fully automatic headlights,Panic alarm,Speed control,Bumpers: body-color,Heated door mirrors,Power door mirrors,Roof rack: rails only,Spoiler,Turn signal indicator mirrors,Auto-dimming Rear-View mirror,Driver door bin,Driver vanity mirror,Front reading lights,Illuminated entry,Leather Shift Knob,Leather steering wheel,Outside temperature display,Overhead console,Passenger vanity mirror,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Front Center Armrest,Heated front seats,Heated Front Sport Seats,SofTex Seat Trim,Split folding rear seat,Passenger door bin,18"" x 7.5J Alloy Wheels,Alloy wheels,Rear window wiper,Variably intermittent wipers,3.815 Axle Ratio,*DEALER MAINTAINED*,*LEATHER SEATS*,*BACKUP CAMERA*",https://www.cargurus.com/Cars/l-Used-Toyota-North-Carolina-m7_L24944#listing=338548725/PRIORITY
Toyota,Rav4,Dealer,18590,2010,Pittsburgh,83975,4,White,Automatic,2T3YK4DV5AW007629,6 cylinders,"Vehicle Info for Stock# 2001554712
Trim: Limited Sport Utility 4D suv
Mileage: 83k miles
Exterior Color: White
Interior Color: Gray
Engine: V6, 3.5 Liter
Drive: Two Wheel Drive
Transmission: Automatic, 5-Spd w/Overdrive
VIN: 2T3YK4DV5AW007629",https://pittsburgh.craigslist.org/ctd/d/pittsburgh-2010-toyota-rav4-limited/7530461012.html
Toyota,Highlander,Dealer,26872,2016,Hunt Valley,113358,4,grey,Automatic,,6 cylinder,,https://baltimore.craigslist.org/ctd/d/cockeysville-2016-toyota-highlander/7532902217.html
Toyota,Camry,Dealer,17998,2011,"Dayton, OH",73000,4,Gray,Automatic,4T1BF3EK7BU193256,"4-cyl, Gas, 2.5L","2011 Camry LE 
Toyota
4 people saved
$17,998
*
 Estimate Payment
73K miles
22/32 mpg
Stock # 22958004  VIN # 4T1BF3EK7BU193256
Low Miles Per Year
Less than 9,000 miles per year
The Basics
Alloy Wheels, Cloth Seats, Cruise Control, CD Audio, Auxiliary Audio Input ...See All Features.
150K miles or 48 months of coverage available
Optional MaxCare covers all major systems, offers flexible plan pricing, and hassle-free repairs. Learn more about MaxCare.",https://www.carmax.com/car/22958004
Toyota,Corolla,Dealer,21439,2019,"1550 E. Camelback RoadPhoenix, AZ 85014",83024,4,Classic Silver,Automatic,5YFBURHE6KP914926,1.8L I-4 cyl,"Bluetooth, Back Up Camera, Local Trade, Adaptive Cruise Control, Lane Departure Alert, Toyota Certified, Alloy Wheels.
Certified. Certification Program Details: WHY BUY CERTIFIED? TOYOTA'S CERTIFICATION PROGRAM INCLUDES - 12 Month / 12,000 Mile Comprehensive Warranty - 7 Year / 100,000 Mile Limited Powertrain Warranty - 1 Year of Roadside Assistance - 160-Point Quality Assurance Inspection - CARFAX Vehicle History Report***
FWD CVT 1.8L I4 DOHC Dual VVT-i Classic Silver Metallic
Awards:
* 2019 KBB.com Brand Image Awards * 2019 KBB.com Best Resale Value Awards
www.camelbacktoyota.com Excellent Selection of NEW and USED vehicles, Financing Options, Serving the great Phoenix Area.",https://www.camelbacktoyota.com/certified/Toyota/2019-Toyota-Corolla-341a95970a0e0a937adff181a86213aa.htm
Toyota,Corolla,Dealer,14998,2013,"Akron, OH",119000,4,Silver,Automatic,2T1BU4EE6DC922647,"4-cyl, Gas, 1.8L",,https://www.carmax.com/car/22084873
Toyota,Corolla,Dealer,18173,2016,"Manhattan, KS",71373,4,Red,Automatic,2T1BURHE9GC591740,1.8L I4 16V MPFI DOHC,N/A,https://www.cars.com/vehicledetail/7c136f23-5fea-4d46-8598-64569aacff09/
Toyota,Highlander,Dealer,23990,2015,"Heath, OH",81080,4,Silver,Automatic,5TDZKRFH4FS089824,"6-Cyl, 3.5L",2015 Toyota Highlander LE Plus Sport Utility 4D,https://www.carvana.com/vehicle/2085468
Toyota,Camry,Dealer,38998,2019,"CarMax Cincinnati, OH",15000,4,White/Red,Automatic,4T1B61HK2KU214711,"4-cyl, Gas, 2.5L","Single Owner, Low miles, Loaded",https://www.carmax.com/car/23142119
Toyota,Rav4,Individual,19590,2016,"lebanon, tn 37087",102205,4,white,Automatic,JTMZFREV1GJ079083,"4-Cyl, 2.5L",,https://www.carvana.com/vehicle/lt/2498060&store=Carvpit?utm_source=google&utm_medium=vla&utm_campaign=11030956979&utm_content=111143241747&utm_target=pla-1731472896143&utm_creative=461539942938&utm_device=c&utm_adposition=&gclid=CjwKCAjw1ICZBhAzEiwAFfvFhK2Y7pB3EOi8JxX6Km-kdnth-kA-7kys1f6fnybYf6kPXOgScQP67hoCx1QQAvD_BwE
Toyota,Camry,Dealer,19998,2015,"Cincinnati, OH",77000,4,Gray,Automatic,4T1BF1FK4FU076565,"4-cyl, Gas, 2.5L","2015 Camry SE 
Toyota
7 people saved
$19,998
*
 Estimate Payment
77K miles
25/35 mpg
Stock # 23118620  VIN # 4T1BF1FK4FU076565
New Pair of Tires
Replaced 2 tires to meet our standards
Well-Equipped
Leatherette & Cloth, Rear View Camera, Bluetooth Technology, Alloy Wheels ...See All Features.
150K miles or 48 months of coverage available
Optional MaxCare covers all major systems, offers flexible plan pricing, and hassle-free repairs. Learn more about MaxCare.",https://www.carmax.com/car/23118620
Toyota,Rav4,Dealer,34998,2020,"Columbus, OH",16000,4,Black,Automatic,2T3F1RFV9LC060889,"4-cyl, Gas, 2.5L",2020 RAV4 LE,https://www.carmax.com/car/23199975
Toyota,Camry,Dealer,14950,2015,"VNC Inc  99 Hazel St. Paterson, NJ 07503 ",97410,4,red,Automatic,4T1BF1FK8FU983688,2.5L I4,,https://baltimore.craigslist.org/ctd/d/paterson-2015-toyota-camry-xse-4dr-sedan/7532895845.html
Toyota,Corolla,Dealer,21991,2020,"PITTSBURGH, PA 15236",28251,4,Black Sand Pearl Exterior,Automatic,5YFEPRAE9LP041575,1.8L 4-Cylinder Gas Engine,"2020 Toyota Corolla LE CARFAX One-Owner. Clean CARFAX. Corolla LE, 4D Sedan, 1.8L I4 DOHC 16V, CVT, FWD, All-Weather Floor Liner Package, All-Weather Floor Liners, Door Edge Guards.
30/38 City/Highway MPG Odometer is 17071 miles below market average! Priced below KBB Fair Purchase Price!",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=655917010&allListingType=all-cars&makeCodeList=TOYOTA&modelCodeList=COROL&city=Pittsburgh&state=PA&zip=15219&location=&searchRadius=50&isNewSearch=false&marketExtension=include&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Ftoyota%2Fcorolla%2Fpittsburgh-pa-15219%3Fdma%3D%26searchRadius%3D50%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=alpha
Toyota,Corolla,Dealer,21695,2017,"Valencia, CA",35035,4,Gray,Automatic,5YFBURHE1HP608659,1.8L I4,"Hello Mazda of Valencia is very proud to offer this good-looking 2017 Toyota Corolla SE in Gray, beautifully equipped with ABS brakes, Active Cruise Control, Alloy wheels, Electronic Stability Control, Heated door mirrors, Illuminated entry, Low tire pressure warning, Remote keyless entry, Traction control, 4-Wheel Disc Brakes, 6 Speakers, Air Conditioning, AM/FM radio, Auto High-beam Headlights, Automatic temperature control, Brake assist, Bumpers: body-color, CD player, Delay-off headlights, Distance-Pacing Cruise Control, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Exterior Parking Camera Rear, Fabric Seat Trim w/SofTex, Front anti-roll bar, Front Bucket Seats, Front Center Armrest w/Storage, Front reading lights, Front Sport Bucket Seats, Front wheel independent suspension, Fully automatic headlights, Knee airbag, Leather steering wheel, Occupant sensing airbag, Outside temperature display, Overhead airbag, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio data system, Radio: Entune Audio w/6.1"" Screen, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, and Wheels: 17"" x 7.0"" Machined Alloy. ABS brakes, Active Cruise Control, Alloy wheels, Electronic Stability Control, Heated door mirrors, Illuminated entry, Low tire pressure warning, Remote keyless entry, Traction control. 28/36 City/Highway MPG FWD CVT 1.8L I4 DOHC Dual VVT-i At Hello Mazda of Valencia, and we look forward to living up to our reputation every day. Stop in and see us today, or contact our staff with any questions @ 661-255-2020.",https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=90601&distance=75&entitySelectingHelper.selectedEntity=d295#listing=336753069/FEATURED
